hs6,keyword_en,keyword_local,desc_en,desc_ko
854143,solar panel,solar panel,Solar Cells & Modules,태양전지·모듈
850760,lithium battery,lithium battery,Lithium-ion Batteries,리튬이온 배터리
870380,electric car,electric car,Electric Vehicles,전기자동차
300490,medicine,medicine,Medicaments (Other),기타 의약품
330499,cosmetics,cosmetics,Beauty/Make-up Preparations,화장품
940360,furniture,wooden furniture,Wooden Furniture,목재가구
902789,lab instrument,lab analyzer,Instruments for Physical/Chemical Analysis,물리화학 분석기기
854231,semiconductor chip,semiconductor,Electronic Integrated Circuits (Processors/Controllers),전자집적회로(프로세서·컨트롤러)
392690,plastic products,plastic goods,Other Articles of Plastics,기타 플라스틱 제품
610910,cotton t-shirt,t-shirt,Cotton T-shirts,면 티셔츠
220300,beer,beer,Beer Made from Malt,맥주
190230,instant noodles,ramen,"Pasta (Other, incl. instant noodles)",기타 파스타(라면류 포함)
841381,water pump,pump,Pumps for Liquids,액체 펌프
853710,control panel,control board,Electric Control/Distribution Boards,전기 제어반·배전반
870899,auto parts,car parts,Motor Vehicle Parts (Other),기타 자동차 부품
960310,broom,brush,Brooms and Brushes,빗자루·솔
730890,steel structure,steel frame,Structures of Iron/Steel,철강 구조물
850440,power adapter,adapter,Static Converters (Power Adapters),전력변환장치(어댑터)
732393,kitchenware,steel kitchenware,Table/Kitchen Articles of Stainless Steel,스테인리스 주방용품
900490,sunglasses,sunglasses,Spectacles/Sunglasses,안경·선글라스
420292,backpack,backpack,Bags with Outer Surface of Sheeting,합성소재 가방(백팩 등)
640399,shoes,shoes,Footwear with Outer Soles of Rubber/Leather,신발(고무·가죽창)
610990,t-shirt,knit shirt,Knitted T-shirts (Other Materials),기타 소재 니트 티셔츠
854370,electronic device,electronic gadget,Electrical Machines with Individual Functions,개별 기능 전기기기
392330,plastic container,plastic bottle,Carboys/Bottles/Flasks of Plastics,플라스틱 병·용기
841861,refrigeration,heat pump,Refrigerating/Freezing Equipment,냉동·냉장 장비
851762,network router,router,Machines for Reception/Transmission of Data,데이터 송수신기기(라우터 등)
940542,led light,led lamp,Electric Lamps and Lighting Fittings,전기램프·조명기구
330720,perfume,perfume,Perfumes and Toilet Waters,향수·화장수
